Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Differentially Expressed?,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Ptp4a1,PTP4A1,Q63739,TP4A1_MOUSE,Protein tyrosine phosphatase type IVA 1,5310,4860,No,0.12,0.61094,0.68869
Vps50,VPS50,Q8CI71,VPS50_MOUSE,Syndetin,4851,5372,No,-0.13,0.61152,0.68918
Smurf1,SMURF1,Q9CUN6,SMUF1_MOUSE,E3 ubiquitin-protein ligase SMURF1,9648,4846,No,2.53,0.61177,0.68926
Cpne6,CPNE6,Q9Z140,CPNE6_MOUSE,Copine-6,82009,89067,No,-0.13,0.61189,0.68926
Lancl1,LANCL1,O89112,LANC1_MOUSE,Glutathione S-transferase LANCL1,66458,58935,No,0.14,0.61311,0.69046
Dapk1,DAPK1,Q80YE7,DAPK1_MOUSE,Death-associated protein kinase 1,7019,7221,No,2.05,0.61596,0.69351
Myo18a,MYO18A,Q9JMH9,MY18A_MOUSE,Unconventional myosin-XVIIIa,9723,9250,No,0.07,0.61630,0.69373
Cntn1,CNTN1,P12960,CNTN1_MOUSE,Contactin-1,117415,125835,No,-0.12,0.61651,0.69380
Tmem214,TMEM214,Q8BM55,TM214_MOUSE,Transmembrane protein 214,1407,959,No,-1.25,0.61674,0.69389
Lamp1,LAMP1,P11438,LAMP1_MOUSE,Lysosome-associated membrane glycoprotein 1,3223,3527,No,-0.22,0.61771,0.69481
Tbc1d13,TBC1D13,Q8R3D1,TBC13_MOUSE,TBC1 domain family member 13,2337,2488,No,1.79,0.61802,0.69499
Znfx1,ZNFX1,Q8R151,ZNFX1_MOUSE,NFX1-type zinc finger-containing protein 1,4673,5020,No,1.95,0.61835,0.69520
Acadl,ACADL,P51174,ACADL_MOUSE,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",39256,34807,No,0.14,0.62091,0.69790
Rida,RIDA,P52760,RIDA_MOUSE,2-iminobutanoate/2-iminopropanoate deaminase,18280,20550,No,-0.14,0.62180,0.69874
Cox7c,COX7C,P17665,COX7C_MOUSE,"Cytochrome c oxidase subunit 7C, mitochondrial",10477,11960,No,-0.14,0.62277,0.69905
Rbx1,RBX1,P62878,RBX1_MOUSE,E3 ubiquitin-protein ligase RBX1,10335,9835,No,0.07,0.62280,0.69905
Psip1,PSIP1,Q99JF8,PSIP1_MOUSE,PC4 and SFRS1-interacting protein,3610,4096,No,-0.20,0.62281,0.69905
Unc79,UNC79,Q0KK59,UNC79_MOUSE,Protein unc-79 homolog,3823,5160,No,-2.28,0.62298,0.69905
Lysmd1,LYSMD1,Q9D0E3,LYSM1_MOUSE,LysM and putative peptidoglycan-binding domain-containing protein 1,680,463,No,1.75,0.62300,0.69905
Enpp6,ENPP6,Q8BGN3,ENPP6_MOUSE,Glycerophosphocholine cholinephosphodiesterase ENPP6,1358,1395,No,1.64,0.62306,0.69905
Cyp51a1,NA,Q8K0C4,CP51A_MOUSE,Lanosterol 14-alpha demethylase,6314,5897,No,0.09,0.62312,0.69905
Plcg1,PLCG1,Q62077,PLCG1_MOUSE,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",10915,10251,No,0.09,0.62342,0.69911
Strbp,STRBP,Q91WM1,STRBP_MOUSE,Spermatid perinuclear RNA-binding protein,2625,2836,No,-0.15,0.62348,0.69911
Mark2,MARK2,Q05512,MARK2_MOUSE,Serine/threonine-protein kinase MARK2,11700,12476,No,-0.11,0.62401,0.69949
Pak5,NA,Q8C015,PAK5_MOUSE,Serine/threonine-protein kinase PAK 5,4778,5062,No,-0.08,0.62412,0.69949
Slc22a17,SLC22A17,Q9D9E0,S22AH_MOUSE,Solute carrier family 22 member 17,7479,7029,No,0.16,0.62467,0.69995
Ppp6c,PPP6C,Q9CQR6,PPP6_MOUSE,Serine/threonine-protein phosphatase 6 catalytic subunit,12379,13579,No,-0.11,0.62511,0.70026
Cyfip1,CYFIP1,Q7TMB8,CYFP1_MOUSE,Cytoplasmic FMR1-interacting protein 1,39647,37525,No,0.09,0.62526,0.70026
Gnaz,GNAZ,O70443,GNAZ_MOUSE,Guanine nucleotide-binding protein G(z) subunit alpha,75397,69961,No,0.10,0.62629,0.70119
Rpl35a,RPL35A,O55142,RL35A_MOUSE,60S ribosomal protein L35a,14297,13675,No,0.08,0.62638,0.70119
Aida,AIDA,Q8C4Q6,AIDA_MOUSE,"Axin interactor, dorsalization-associated protein",3146,3411,No,-0.13,0.62809,0.70293
Rab5b,RAB5B,P61021,RAB5B_MOUSE,Ras-related protein Rab-5B,26839,28952,No,-0.13,0.62882,0.70358
Iqgap2,IQGAP2,Q3UQ44,IQGA2_MOUSE,Ras GTPase-activating-like protein IQGAP2,2265,2571,No,1.73,0.62940,0.70406
Rps6,RPS6,P62754,RS6_MOUSE,40S ribosomal protein S6,48706,45049,No,0.11,0.63068,0.70515
Jph1,JPH1,Q9ET80,JPH1_MOUSE,Junctophilin-1,2347,1602,No,-1.29,0.63082,0.70515
Ide,IDE,Q9JHR7,IDE_MOUSE,Insulin-degrading enzyme,7820,8752,No,-0.16,0.63083,0.70515
Pc,NA,Q05920,PYC_MOUSE,"Pyruvate carboxylase, mitochondrial",8129485,8650551,No,-0.26,0.63133,0.70554
Tmem223,NA,Q9CQE2,TM223_MOUSE,Transmembrane protein 223,1738,1232,No,1.96,0.63156,0.70563
Atl2,ATL2,Q6PA06,ATLA2_MOUSE,Atlastin-2,8860,8297,No,0.11,0.63336,0.70747
Ptcd3,PTCD3,Q14C51,PTCD3_MOUSE,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial",2182,2516,No,1.70,0.63464,0.70873
Ablim3,ABLIM3,Q69ZX8,ABLM3_MOUSE,Actin-binding LIM protein 3,3726,3538,No,0.08,0.63504,0.70901
Fasn,FASN,P19096,FAS_MOUSE,Fatty acid synthase,68401,64598,No,0.10,0.63523,0.70906
Cnot10,CNOT10,Q8BH15,CNO10_MOUSE,CCR4-NOT transcription complex subunit 10,1846,2157,No,1.66,0.63555,0.70923
Pde3a,PDE3A,Q9Z0X4,PDE3A_MOUSE,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",24193,29127,No,2.22,0.63638,0.70987
Mtarc2,NA,Q922Q1,MARC2_MOUSE,Mitochondrial amidoxime reducing component 2,42744,41425,No,0.05,0.63642,0.70987
Gsr,GSR,P47791,GSHR_MOUSE,"Glutathione reductase, mitochondrial",15818,14754,No,0.09,0.63659,0.70989
Ndel1,NDEL1,Q9ERR1,NDEL1_MOUSE,Nuclear distribution protein nudE-like 1,103997,79757,No,0.28,0.63683,0.70990
Plgrkt,PLGRKT,Q9D3P8,PLRKT_MOUSE,Plasminogen receptor (KT),4350,4057,No,0.09,0.63703,0.70990
Slc6a3,SLC6A3,Q61327,SC6A3_MOUSE,Sodium-dependent dopamine transporter,2105,1523,No,1.97,0.63705,0.70990
Ighm,IGHM,P01872,IGHM_MOUSE,Immunoglobulin heavy constant mu,2827,3193,No,-2.07,0.63835,0.71117
Apba1,APBA1,B2RUJ5,APBA1_MOUSE,Amyloid-beta A4 precursor protein-binding family A member 1,3018,3422,No,-0.19,0.63881,0.71151
Dglucy,DGLUCY,Q8BH86,GLUCM_MOUSE,"D-glutamate cyclase, mitochondrial",3779,3555,No,0.15,0.63913,0.71170
Dnajc10,DNAJC10,Q9DC23,DJC10_MOUSE,DnaJ homolog subfamily C member 10,1727,1155,No,-1.20,0.63943,0.71186
Osbp,OSBP,Q3B7Z2,OSBP1_MOUSE,Oxysterol-binding protein 1,12650,13341,No,-0.10,0.63972,0.71202
Nars2,NARS2,Q8BGV0,SYNM_MOUSE,"Probable asparagine--tRNA ligase, mitochondrial",7201,6597,No,0.14,0.64005,0.71222
Psap,PSAP,Q61207,SAP_MOUSE,Prosaposin,4956,5543,No,-2.20,0.64185,0.71405
Fyttd1,FYTTD1,Q91Z49,UIF_MOUSE,UAP56-interacting factor,1300,1534,No,1.55,0.64209,0.71415
Shisa6,SHISA6,Q3UH99,SHSA6_MOUSE,Protein shisa-6,1929,2361,No,1.63,0.64306,0.71505
Map2k7,MAP2K7,Q8CE90,MP2K7_MOUSE,Dual specificity mitogen-activated protein kinase kinase 7,2101,2563,No,1.64,0.64549,0.71759
Mtif2,MTIF2,Q91YJ5,IF2M_MOUSE,"Translation initiation factor IF-2, mitochondrial",1094,1347,No,1.50,0.64613,0.71803
Fn1,FN1,P11276,FINC_MOUSE,Fibronectin,1965,2356,No,1.62,0.64619,0.71803
Pi4k2a,PI4K2A,Q2TBE6,P4K2A_MOUSE,Phosphatidylinositol 4-kinase type 2-alpha,2156,2023,No,0.08,0.64641,0.71810
Strap,STRAP,Q9Z1Z2,STRAP_MOUSE,Serine-threonine kinase receptor-associated protein,14947,14355,No,0.07,0.64688,0.71829
Zbtb48,ZBTB48,Q1H9T6,TZAP_MOUSE,Telomere zinc finger-associated protein,21983,29092,No,2.13,0.64703,0.71829
Ryr2,RYR2,E9Q401,RYR2_MOUSE,Ryanodine receptor 2,19333,20893,No,-0.08,0.64705,0.71829
Dync2i2,NA,Q5U4F6,DC2I2_MOUSE,Cytoplasmic dynein 2 intermediate chain 2,1102,1177,No,1.48,0.64787,0.71903
Dcaf8,DCAF8,Q8N7N5,DCAF8_MOUSE,DDB1- and CUL4-associated factor 8,3265,3677,No,-0.11,0.64858,0.71965
Ptprn2,PTPRN2,P80560,PTPR2_MOUSE,Receptor-type tyrosine-protein phosphatase N2,4859,5214,No,-0.11,0.64932,0.72030
Bcam,BCAM,Q9R069,BCAM_MOUSE,Basal cell adhesion molecule,5055,6490,No,1.81,0.65003,0.72091
Rpl13,RPL13,P47963,RL13_MOUSE,60S ribosomal protein L13,41698,43476,No,-0.08,0.65047,0.72123
Top2b,TOP2B,Q64511,TOP2B_MOUSE,DNA topoisomerase 2-beta,4781,4404,No,0.10,0.65116,0.72170
Rnpep,RNPEP,Q8VCT3,AMPB_MOUSE,Aminopeptidase B,13216,12078,No,0.12,0.65120,0.72170
Znf512,NA,Q69Z99,ZN512_MOUSE,Zinc finger protein 512,2031,1768,No,1.90,0.65146,0.72182
Prelid3a,PRELID3A,Q8VE85,PLD3A_MOUSE,PRELI domain containing protein 3A,1467,1575,No,-1.83,0.65195,0.72218
Pzp,NA,Q61838,PZP_MOUSE,Pregnancy zone protein,41505,39003,No,0.10,0.65274,0.72289
Pi4ka,PI4KA,E9Q3L2,PI4KA_MOUSE,Phosphatidylinositol 4-kinase alpha,31092,33658,No,-0.14,0.65291,0.72291
Slc45a1,SLC45A1,Q8BIV7,S45A1_MOUSE,Proton-associated sugar transporter A,2059,1838,No,1.89,0.65375,0.72366
Nudt3,NUDT3,Q9JI46,NUDT3_MOUSE,Diphosphoinositol polyphosphate phosphohydrolase 1,31056,32218,No,-0.05,0.65475,0.72460
Cpsf7,CPSF7,Q8BTV2,CPSF7_MOUSE,Cleavage and polyadenylation specificity factor subunit 7,3654,4097,No,-0.16,0.65603,0.72574
Spg7,SPG7,Q3ULF4,SPG7_MOUSE,Paraplegin,1568,2147,No,1.54,0.65609,0.72574
Higd1a,HIGD1A,Q9JLR9,HIG1A_MOUSE,"HIG1 domain family member 1A, mitochondrial",807,688,No,1.63,0.65654,0.72600
Slc6a6,SLC6A6,O35316,SC6A6_MOUSE,Sodium- and chloride-dependent taurine transporter,205955,96508,No,-1.87,0.65664,0.72600
Stmn3,STMN3,O70166,STMN3_MOUSE,Stathmin-3,2647,2456,No,1.92,0.65856,0.72796
Emc2,EMC2,Q9CRD2,EMC2_MOUSE,ER membrane protein complex subunit 2,3269,3131,No,0.09,0.65885,0.72810
Ube4b,UBE4B,Q9ES00,UBE4B_MOUSE,Ubiquitin conjugation factor E4 B,2350,3180,No,1.60,0.65915,0.72827
Pabpn1,PABPN1,Q8CCS6,PABP2_MOUSE,Polyadenylate-binding protein 2,1794,2278,No,1.54,0.65933,0.72829
Metap2,METAP2,O08663,MAP2_MOUSE,Methionine aminopeptidase 2,3686,3815,No,-0.06,0.66037,0.72888
Cd47,CD47,Q61735,CD47_MOUSE,Leukocyte surface antigen CD47,84012,75219,No,0.23,0.66050,0.72888
Cdc40,CDC40,Q9DC48,PRP17_MOUSE,Pre-mRNA-processing factor 17,1169,1124,No,1.72,0.66060,0.72888
Nccrp1,NCCRP1,G3X9C2,FBX50_MOUSE,F-box only protein 50,4397,4191,No,-2.03,0.66064,0.72888
Ttc9,TTC9,Q3V038,TTC9A_MOUSE,Tetratricopeptide repeat protein 9A,1922,1937,No,-1.83,0.66065,0.72888
Rps11,RPS11,P62281,RS11_MOUSE,40S ribosomal protein S11,31593,29880,No,0.09,0.66085,0.72893
Cttnbp2,CTTNBP2,B9EJA2,CTTB2_MOUSE,Cortactin-binding protein 2,8367,8763,No,-0.08,0.66151,0.72949
Map4k4,MAP4K4,P97820,M4K4_MOUSE,Mitogen-activated protein kinase kinase kinase kinase 4,3239,1950,No,-1.21,0.66260,0.73052
Pcdh8,PCDH8,Q7TSK3,PCDH8_MOUSE,Protocadherin-8,4538,4251,No,2.02,0.66315,0.73090
Kcnab1,KCNAB1,P63143,KCAB1_MOUSE,Voltage-gated potassium channel subunit beta-1,3150,2794,No,0.12,0.66326,0.73090
Pycr3,NA,Q9DCC4,P5CR3_MOUSE,Pyrroline-5-carboxylate reductase 3,13990,14817,No,-0.11,0.66357,0.73106
Asic2,ASIC2,Q925H0,ASIC2_MOUSE,Acid-sensing ion channel 2,1887,1903,No,-1.82,0.66384,0.73106
Rab5c,RAB5C,P35278,RAB5C_MOUSE,Ras-related protein Rab-5C,70107,73395,No,-0.11,0.66387,0.73106
Sh3bgrl,SH3BGRL,Q9JJU8,SH3L1_MOUSE,SH3 domain-binding glutamic acid-rich-like protein,3917,4200,No,-0.10,0.66421,0.73126
Necab2,NECAB2,Q91ZP9,NECA2_MOUSE,N-terminal EF-hand calcium-binding protein 2,2640,3492,No,1.60,0.66484,0.73170
Cdc16,CDC16,Q8R349,CDC16_MOUSE,Cell division cycle protein 16 homolog,3315,2851,No,1.92,0.66492,0.73170
Abhd10,ABHD10,Q6PE15,ABHDA_MOUSE,"Palmitoyl-protein thioesterase ABHD10, mitochondrial",7907,7253,No,0.10,0.66530,0.73194
Ankmy2,ANKMY2,Q3TPE9,ANKY2_MOUSE,Ankyrin repeat and MYND domain-containing protein 2,3174,3382,No,-0.09,0.66560,0.73210
Pgrmc2,PGRMC2,Q80UU9,PGRC2_MOUSE,Membrane-associated progesterone receptor component 2,3712,5426,No,1.66,0.66598,0.73235
Surf1,SURF1,P09925,SURF1_MOUSE,Surfeit locus protein 1,1579,1518,No,1.74,0.66777,0.73414
Rps8,RPS8,P62242,RS8_MOUSE,40S ribosomal protein S8,61060,57849,No,0.07,0.66800,0.73415
Abhd11,ABHD11,Q8K4F5,ABHDB_MOUSE,Protein ABHD11,2155,2901,No,1.54,0.66809,0.73415
Pla2g4a,PLA2G4A,P47713,PA24A_MOUSE,Cytosolic phospholipase A2,2308,2334,No,-1.83,0.66873,0.73467
Lrrc8b,LRRC8B,Q5DU41,LRC8B_MOUSE,Volume-regulated anion channel subunit LRRC8B,3318,3610,No,-0.11,0.66912,0.73493
Gnb5,GNB5,P62881,GNB5_MOUSE,Guanine nucleotide-binding protein subunit beta-5,40258,36809,No,0.13,0.66928,0.73494
Hp,HP,Q61646,HPT_MOUSE,Haptoglobin,3290,3449,No,1.92,0.66982,0.73536
Anxa4,ANXA4,P97429,ANXA4_MOUSE,Annexin A4,1189,1137,No,-1.67,0.67049,0.73592
Prim1,PRIM1,P20664,PRI1_MOUSE,DNA primase small subunit,3698,5000,No,1.63,0.67192,0.73731
Ptprk,PTPRK,P35822,PTPRK_MOUSE,Receptor-type tyrosine-protein phosphatase kappa,1380,1339,No,-1.69,0.67232,0.73758
Itgam,ITGAM,P05555,ITAM_MOUSE,Integrin alpha-M,1413,1900,No,1.44,0.67292,0.73799
Anks1b,ANKS1B,Q8BIZ1,ANS1B_MOUSE,Ankyrin repeat and sterile alpha motif domain-containing protein 1B,42994,44869,No,-0.06,0.67301,0.73799
Gcat,GCAT,O88986,KBL_MOUSE,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",1063,1109,No,1.63,0.67330,0.73813
Atg7,ATG7,Q9D906,ATG7_MOUSE,Ubiquitin-like modifier-activating enzyme ATG7,17107,15970,No,0.08,0.67348,0.73816
Lxn,LXN,P70202,LXN_MOUSE,Latexin,16517,15553,No,0.08,0.67407,0.73863
Pitpnm2,PITPNM2,Q6ZPQ6,PITM2_MOUSE,Membrane-associated phosphatidylinositol transfer protein 2,21911,20516,No,0.09,0.67434,0.73875
Grcc10,C12orf57,O35127,C10_MOUSE,Protein C10,2218,1324,No,-1.11,0.67478,0.73906
Nol7,NOL7,Q9D7Z3,NOL7_MOUSE,Nucleolar protein 7,128285,116033,No,-2.72,0.67568,0.73987
Prkce,PRKCE,P16054,KPCE_MOUSE,Protein kinase C epsilon type,35089,32235,No,0.12,0.67813,0.74238
Igh-3,NA,P01867,IGG2B_MOUSE,Ig gamma-2B chain C region,4599,6755,No,1.63,0.68021,0.74448
Cth,CTH,Q8VCN5,CGL_MOUSE,Cystathionine gamma-lyase,21832,22792,No,-0.09,0.68083,0.74499
Itpr2,ITPR2,Q9Z329,ITPR2_MOUSE,"Inositol 1,4,5-trisphosphate receptor type 2",12471,12270,No,0.11,0.68116,0.74517
Akap12,AKAP12,Q9WTQ5,AKA12_MOUSE,A-kinase anchor protein 12,2286,2064,No,0.10,0.68159,0.74547
Brsk1,BRSK1,Q5RJI5,BRSK1_MOUSE,Serine/threonine-protein kinase BRSK1,5731,5395,No,0.07,0.68274,0.74656
Pgm3,PGM3,Q9CYR6,AGM1_MOUSE,Phosphoacetylglucosamine mutase,7868,7374,No,0.10,0.68293,0.74659
Pdgfrb,PDGFRB,P05622,PGFRB_MOUSE,Platelet-derived growth factor receptor beta,11290,10704,No,0.12,0.68324,0.74675
Pip4k2b,PIP4K2B,Q80XI4,PI42B_MOUSE,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,15998,16898,No,-0.07,0.68463,0.74809
Nf1,NF1,Q04690,NF1_MOUSE,Neurofibromin,11923,11494,No,0.08,0.68586,0.74926
Fis1,FIS1,Q9CQ92,FIS1_MOUSE,Mitochondrial fission 1 protein,3902,4104,No,-0.08,0.68602,0.74926
Fbll1,FBLL1,Q80WS3,FBLL1_MOUSE,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,2646,1655,No,-1.10,0.68655,0.74966
Cnot1,CNOT1,Q6ZQ08,CNOT1_MOUSE,CCR4-NOT transcription complex subunit 1,5858,5413,No,0.09,0.68690,0.74987
Dctn5,DCTN5,Q9QZB9,DCTN5_MOUSE,Dynactin subunit 5,3889,4229,No,-0.14,0.68836,0.75113
Ccdc127,CCDC127,Q3TC33,CC127_MOUSE,Coiled-coil domain-containing protein 127,3533,3084,No,0.16,0.68853,0.75113
Tsfm,TSFM,Q9CZR8,EFTS_MOUSE,"Elongation factor Ts, mitochondrial",1872,2694,No,1.42,0.68854,0.75113
Dennd4b,DENND4B,Q3U1Y4,DEN4B_MOUSE,DENN domain-containing protein 4B,4598,4194,No,0.12,0.68902,0.75148
Tomm40,TOMM40,Q9QYA2,TOM40_MOUSE,Mitochondrial import receptor subunit TOM40 homolog,13498,14844,No,-0.13,0.68953,0.75186
Cbr4,CBR4,Q91VT4,CBR4_MOUSE,3-oxoacyl-[acyl-carrier-protein] reductase,6791,6369,No,0.07,0.69015,0.75226
Slc25a25,SLC25A25,A2ASZ8,SCMC2_MOUSE,Calcium-binding mitochondrial carrier protein SCaMC-2,17134,16213,No,0.08,0.69021,0.75226
Uqcr10,UQCR10,Q8R1I1,QCR9_MOUSE,Cytochrome b-c1 complex subunit 9,49042,46317,No,0.08,0.69111,0.75297
Spred1,SPRED1,Q924S8,SPRE1_MOUSE,"Sprouty-related, EVH1 domain-containing protein 1",5384,5102,No,0.09,0.69119,0.75297
Hdac4,HDAC4,Q6NZM9,HDAC4_MOUSE,Histone deacetylase 4,4435,4637,No,-0.05,0.69218,0.75387
Gaa,GAA,P70699,LYAG_MOUSE,Lysosomal alpha-glucosidase,5457,5768,No,-0.10,0.69276,0.75433
Arl6ip4,ARL6IP4,Q9JM93,AR6P4_MOUSE,ADP-ribosylation factor-like protein 6-interacting protein 4,2533,5251,No,1.46,0.69369,0.75517
Mccc2,MCCC2,Q3ULD5,MCCB_MOUSE,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",7936,8377,No,-0.09,0.69486,0.75626
Chd4,CHD4,Q6PDQ2,CHD4_MOUSE,Chromodomain-helicase-DNA-binding protein 4,7247,7713,No,-0.09,0.69508,0.75633
Mrpl10,MRPL10,Q3TBW2,RM10_MOUSE,"39S ribosomal protein L10, mitochondrial",1157,1429,No,1.53,0.69603,0.75718
Txn2,TXN2,P97493,THIOM_MOUSE,"Thioredoxin, mitochondrial",2996,2774,No,-1.69,0.69635,0.75721
Cmip,CMIP,Q9D486,CMIP_MOUSE,C-Maf-inducing protein,2638,3150,No,-0.19,0.69638,0.75721
Oxsm,OXSM,Q9D404,OXSM_MOUSE,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",3167,2968,No,0.12,0.69694,0.75765
Map7,MAP7,O88735,MAP7_MOUSE,Ensconsin,12465,12440,No,0.20,0.69806,0.75868
Xpo7,XPO7,Q9EPK7,XPO7_MOUSE,Exportin-7,11261,10473,No,0.11,0.69888,0.75940
Rps6ka3,RPS6KA3,P18654,KS6A3_MOUSE,Ribosomal protein S6 kinase alpha-3,1103,1621,No,1.28,0.69909,0.75944
Gnai1,GNAI1,B2RSH2,GNAI1_MOUSE,Guanine nucleotide-binding protein G(i) subunit alpha-1,143885,154557,No,-0.09,0.70013,0.76027
Rab4a,RAB4A,P56371,RAB4A_MOUSE,Ras-related protein Rab-4A,11966,10838,No,0.11,0.70017,0.76027
Lats1,LATS1,Q8BYR2,LATS1_MOUSE,Serine/threonine-protein kinase LATS1,5501,7015,No,-0.16,0.70079,0.76077
Hecw2,HECW2,Q6I6G8,HECW2_MOUSE,E3 ubiquitin-protein ligase HECW2,4164,4358,No,-0.11,0.70098,0.76080
Smarcc2,SMARCC2,Q6PDG5,SMRC2_MOUSE,SWI/SNF complex subunit SMARCC2,1896,2818,No,1.36,0.70140,0.76107
Tk2,TK2,Q9R088,KITM_MOUSE,"Thymidine kinase 2, mitochondrial",3243,3389,No,-0.11,0.70158,0.76109
Rbm12b2,RBM12B,Q66JV4,R12BB_MOUSE,RNA-binding protein 12B-B,2740,3557,No,1.68,0.70196,0.76132
Plcl1,PLCL1,Q3USB7,PLCL1_MOUSE,Inactive phospholipase C-like protein 1,3746,3922,No,-0.08,0.70212,0.76132
Pkp1,PKP1,P97350,PKP1_MOUSE,Plakophilin-1,5151,7667,No,1.53,0.70228,0.76132
Arg1,ARG1,Q61176,ARGI1_MOUSE,Arginase-1,7409,12583,No,1.60,0.70307,0.76180
Ergic1,ERGIC1,Q9DC16,ERGI1_MOUSE,Endoplasmic reticulum-Golgi intermediate compartment protein 1,5889,6131,No,-0.09,0.70316,0.76180
Cisd1,CISD1,Q91WS0,CISD1_MOUSE,CDGSH iron-sulfur domain-containing protein 1,55093,56941,No,-0.05,0.70321,0.76180
Dnaja3,DNAJA3,Q99M87,DNJA3_MOUSE,"DnaJ homolog subfamily A member 3, mitochondrial",2519,3895,No,1.41,0.70337,0.76180
Vta1,VTA1,Q9CR26,VTA1_MOUSE,Vacuolar protein sorting-associated protein VTA1 homolog,9072,8414,No,0.08,0.70399,0.76229
Ptprn,PTPRN,Q60673,PTPRN_MOUSE,Receptor-type tyrosine-protein phosphatase-like N,1284,1927,No,1.52,0.70542,0.76366
RO60,NA,O08848,RO60_MOUSE,60 kDa SS-A/Ro ribonucleoprotein,6242,5969,No,0.08,0.70739,0.76562
Cdk18,CDK18,Q04899,CDK18_MOUSE,Cyclin-dependent kinase 18,1684,2342,No,-0.19,0.70803,0.76613
Med23,MED23,Q80YQ2,MED23_MOUSE,Mediator of RNA polymerase II transcription subunit 23,461,649,No,1.28,0.70928,0.76731
Ociad1,OCIAD1,Q9CRD0,OCAD1_MOUSE,OCIA domain-containing protein 1,9445,9013,No,0.06,0.70973,0.76761
Prpf19,PRPF19,Q99KP6,PRP19_MOUSE,Pre-mRNA-processing factor 19,18719,19393,No,-0.08,0.71045,0.76821
Pde10a,PDE10A,Q8CA95,PDE10_MOUSE,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",4455,4247,No,0.11,0.71086,0.76848
Arhgap26,ARHGAP26,Q6ZQ82,RHG26_MOUSE,Rho GTPase-activating protein 26,5783,6021,No,-0.05,0.71160,0.76910
Eif4a2,EIF4A2,P10630,IF4A2_MOUSE,Eukaryotic initiation factor 4A-II,117525,107176,No,0.11,0.71198,0.76931
Abca5,ABCA5,Q8K448,ABCA5_MOUSE,Cholesterol transporter ABCA5,5146,5282,No,-0.04,0.71212,0.76931
Rab27a,RAB27A,Q9ERI2,RB27A_MOUSE,Ras-related protein Rab-27A,1507,2380,No,1.27,0.71264,0.76969
Efnb3,EFNB3,O35393,EFNB3_MOUSE,Ephrin-B3,4219,4006,No,0.07,0.71298,0.76975
Itih3,ITIH3,Q61704,ITIH3_MOUSE,Inter-alpha-trypsin inhibitor heavy chain H3,892,678,No,-1.36,0.71302,0.76975
Cdk5,CDK5,P49615,CDK5_MOUSE,Cyclin-dependent-like kinase 5,43926,45868,No,-0.07,0.71412,0.77037
Pspc1,PSPC1,Q8R326,PSPC1_MOUSE,Paraspeckle component 1,6589,11890,No,1.53,0.71414,0.77037
Dnajb4,DNAJB4,Q9D832,DNJB4_MOUSE,DnaJ homolog subfamily B member 4,1282,2169,No,1.24,0.71423,0.77037
Arf1,ARF1,P84078,ARF1_MOUSE,ADP-ribosylation factor 1,218221,208917,No,0.08,0.71438,0.77037
Ppip5k2,PPIP5K2,Q6ZQB6,VIP2_MOUSE,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,4132,2415,No,-1.05,0.71442,0.77037
Itm2c,ITM2C,Q91VK4,ITM2C_MOUSE,Integral membrane protein 2C,6472,6782,No,-0.06,0.71653,0.77246
Eif3m,EIF3M,Q99JX4,EIF3M_MOUSE,Eukaryotic translation initiation factor 3 subunit M,3023,3015,No,0.13,0.71672,0.77249
Prkaa1,PRKAA1,Q5EG47,AAPK1_MOUSE,5'-AMP-activated protein kinase catalytic subunit alpha-1,6997,7179,No,-0.04,0.71736,0.77300
Rimbp2,RIMBP2,Q80U40,RIMB2_MOUSE,RIMS-binding protein 2,10781,11313,No,-0.08,0.71863,0.77419
Lman1,LMAN1,Q9D0F3,LMAN1_MOUSE,Protein ERGIC-53,6047,6477,No,-0.11,0.71912,0.77454
Cp,CP,Q61147,CERU_MOUSE,Ceruloplasmin,4952,5794,No,-0.13,0.72108,0.77640
Mrps30,MRPS30,Q9D0G0,RT30_MOUSE,"28S ribosomal protein S30, mitochondrial",3118,2634,No,0.14,0.72124,0.77640
Agap2,AGAP2,Q3UHD9,AGAP2_MOUSE,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",19025,19711,No,-0.07,0.72134,0.77640
Tle4,TLE4,Q62441,TLE4_MOUSE,Transducin-like enhancer protein 4,3114,5909,No,1.36,0.72324,0.77825
Psme1,PSME1,P97371,PSME1_MOUSE,Proteasome activator complex subunit 1,6745,6326,No,0.07,0.72383,0.77872
Sbf1,SBF1,Q6ZPE2,MTMR5_MOUSE,Myotubularin-related protein 5,34248,32579,No,0.08,0.72510,0.77991
