Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Classification,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Svip,SVIP,Q3UZP4,SVIP_MOUSE,Small VCP/p97-interacting protein,6109,2712,No,6.65,0.107956,0.190249
Prkaa1,PRKAA1,Q5EG47,AAPK1_MOUSE,5'-AMP-activated protein kinase catalytic subunit alpha-1,8993,3788,No,6.92,0.108421,0.190850
Cct4,CCT4,P80315,TCPD_MOUSE,T-complex protein 1 subunit delta,20033,8676,No,7.54,0.109299,0.192177
Lingo1,LINGO1,Q9D1T0,LIGO1_MOUSE,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1,11154,4590,No,7.05,0.109557,0.192346
Plec,PLEC,Q9QXS1,PLEC_MOUSE,Plectin,32489,22881,No,5.32,0.109668,0.192346
Arf5,ARF5,P84084,ARF5_MOUSE,ADP-ribosylation factor 5,40349,29151,No,5.43,0.109769,0.192346
Gpcpd1,GPCPD1,Q8C0L9,GPCP1_MOUSE,Glycerophosphocholine phosphodiesterase GPCPD1,17641,6672,No,7.35,0.109966,0.192420
Mtss2,NA,Q6P9S0,MTSS2_MOUSE,Protein MTSS 2,20301,8922,No,7.53,0.110061,0.192420
Ywhab,YWHAB,Q9CQV8,1433B_MOUSE,14-3-3 protein beta/alpha,24326,20066,No,5.17,0.111185,0.194165
Vamp2,VAMP2,P63044,VAMP2_MOUSE,Vesicle-associated membrane protein 2,20491,18688,No,5.10,0.111345,0.194223
Lonp1,LONP1,Q8CGK3,LONM_MOUSE,"Lon protease homolog, mitochondrial",14216,9926,No,4.88,0.111838,0.194863
Wasl,WASL,Q91YD9,WASL_MOUSE,Neural Wiskott-Aldrich syndrome protein,12612,5420,No,7.10,0.111989,0.194906
Sncb,SNCB,Q91ZZ3,SYUB_MOUSE,Beta-synuclein,103921,91904,No,5.90,0.112339,0.195296
Ndufv2,NDUFV2,Q9D6J6,NDUV2_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",21478,14623,No,5.07,0.112755,0.195730
Swap70,SWAP70,Q6A028,SWP70_MOUSE,Switch-associated protein 70,12945,6062,No,7.13,0.112848,0.195730
Marcks,MARCKS,P26645,MARCS_MOUSE,Myristoylated alanine-rich C-kinase substrate,11332,8099,No,4.75,0.113024,0.195730
Rhog,RHOG,P84096,RHOG_MOUSE,Rho-related GTP-binding protein RhoG,39418,30892,No,5.38,0.113097,0.195730
Ndufb4,NDUFB4,Q9CQC7,NDUB4_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,26904,23003,No,5.20,0.113341,0.195933
Ndrg1,NDRG1,Q62433,NDRG1_MOUSE,Protein NDRG1,9276,4154,No,6.83,0.113903,0.196244
Eif4a2,EIF4A2,P10630,IF4A2_MOUSE,Eukaryotic initiation factor 4A-II,50208,27080,No,1.15,0.113948,0.196244
Elavl3,ELAVL3,Q60900,ELAV3_MOUSE,ELAV-like protein 3,12653,5601,No,7.07,0.113973,0.196244
Shisa7,SHISA7,Q8C3Q5,SHSA7_MOUSE,Protein shisa-7,11577,5770,No,7.04,0.114030,0.196244
Gls2,GLS2,Q571F8,GLSL_MOUSE,"Glutaminase liver isoform, mitochondrial",17634,7493,No,7.26,0.115087,0.197568
S100a6,S100A6,P14069,S10A6_MOUSE,Protein S100-A6,19295,14901,No,4.99,0.115181,0.197568
Tubb6,TUBB6,Q922F4,TBB6_MOUSE,Tubulin beta-6 chain,25664,17429,No,5.12,0.115495,0.197568
Smap1,SMAP1,Q91VZ6,SMAP1_MOUSE,Stromal membrane-associated protein 1,16620,7952,No,7.26,0.115656,0.197568
Luzp1,LUZP1,Q8R4U7,LUZP1_MOUSE,Leucine zipper protein 1,34979,28813,No,5.30,0.115764,0.197568
Arpc4,ARPC4,P59999,ARPC4_MOUSE,Actin-related protein 2/3 complex subunit 4,40240,31454,No,5.35,0.115877,0.197568
Drg2,DRG2,Q9QXB9,DRG2_MOUSE,Developmentally-regulated GTP-binding protein 2,7944,4091,No,6.72,0.115947,0.197568
Prrc2c,PRRC2C,Q3TLH4,PRC2C_MOUSE,Protein PRRC2C,7282,3957,No,6.67,0.116090,0.197568
Rack1,RACK1,P68040,RACK1_MOUSE,Receptor of activated protein C kinase 1,25455,19468,No,5.13,0.116112,0.197568
Atp8a2,ATP8A2,P98200,AT8A2_MOUSE,Phospholipid-transporting ATPase IB,12057,12519,No,4.80,0.116139,0.197568
Wnk1,WNK1,P83741,WNK1_MOUSE,Serine/threonine-protein kinase WNK1,17269,9253,No,7.32,0.116338,0.197568
Nras,NRAS,P08556,RASN_MOUSE,GTPase NRas,16845,12271,No,4.91,0.116458,0.197568
Hsp90aa1,HSP90AA1,P07901,HS90A_MOUSE,Heat shock protein HSP 90-alpha,24857,20927,No,5.12,0.116465,0.197568
Sdr39u1,SDR39U1,Q5M8N4,D39U1_MOUSE,Epimerase family protein SDR39U1,7741,4041,No,6.69,0.116692,0.197705
Vps29,VPS29,Q9QZ88,VPS29_MOUSE,Vacuolar protein sorting-associated protein 29,14790,7760,No,7.18,0.116802,0.197705
Acta2,ACTA2,P62737,ACTA_MOUSE,"Actin, aortic smooth muscle",81172,61387,No,5.69,0.117395,0.198491
Abca7,ABCA7,Q91V24,ABCA7_MOUSE,ATP-binding cassette sub-family A member 7,18352,9727,No,7.33,0.117685,0.198763
Bphl,BPHL,Q8R164,BPHL_MOUSE,Valacyclovir hydrolase,9200,4971,No,6.81,0.117992,0.198956
Sars1,NA,P26638,SYSC_MOUSE,"Serine--tRNA ligase, cytoplasmic",15138,8301,No,7.19,0.118058,0.198956
Ppp3r1,PPP3R1,Q63810,CANB1_MOUSE,Calcineurin subunit B type 1,24423,12094,No,7.50,0.118337,0.199210
Cmas,CMAS,Q99KK2,NEUA_MOUSE,N-acylneuraminate cytidylyltransferase,7980,4624,No,6.71,0.118570,0.199282
Ass1,ASS1,P16460,ASSY_MOUSE,Argininosuccinate synthase,14375,7553,No,7.12,0.118638,0.199282
Nrcam,NRCAM,Q810U4,NRCAM_MOUSE,Neuronal cell adhesion molecule,14422,7986,No,7.12,0.119244,0.200081
Prdx6,PRDX6,O08709,PRDX6_MOUSE,Peroxiredoxin-6,54520,46788,No,5.47,0.119419,0.200157
Adgb,ADGB,G3UZ78,ADGB_MOUSE,Androglobin,82248,62812,No,5.66,0.120106,0.200920
Mapk10,MAPK10,Q61831,MK10_MOUSE,Mitogen-activated protein kinase 10,11355,6541,No,6.93,0.120263,0.200920
Eef1b,NA,O70251,EF1B_MOUSE,Elongation factor 1-beta,14661,7054,No,7.05,0.120345,0.200920
Macroh2a1,NA,Q9QZQ8,H2AY_MOUSE,Core histone macro-H2A.1,22840,18206,No,5.03,0.120396,0.200920
Tst,TST,P52196,THTR_MOUSE,Thiosulfate sulfurtransferase,8500,6896,No,4.54,0.120708,0.201002
Ivd,IVD,Q9JHI5,IVD_MOUSE,"Isovaleryl-CoA dehydrogenase, mitochondrial",18425,10529,No,7.28,0.120805,0.201002
Cacna1e,CACNA1E,Q61290,CAC1E_MOUSE,Voltage-dependent R-type calcium channel subunit alpha-1E,35066,19258,No,0.95,0.120836,0.201002
Dock1,DOCK1,Q8BUR4,DOCK1_MOUSE,Dedicator of cytokinesis protein 1,15364,12772,No,4.83,0.121186,0.201291
Npepps,NPEPPS,Q11011,PSA_MOUSE,Puromycin-sensitive aminopeptidase,13950,11778,No,4.78,0.121272,0.201291
Nono,NONO,Q99K48,NONO_MOUSE,Non-POU domain-containing octamer-binding protein,10357,6378,No,6.87,0.121444,0.201291
Armc10,ARMC10,Q9D0L7,ARM10_MOUSE,Armadillo repeat-containing protein 10,6968,4268,No,6.56,0.121532,0.201291
Ppp2ca,PPP2CA,P63330,PP2AA_MOUSE,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,24288,82081,No,-1.27,0.121672,0.201308
Araf,ARAF,P04627,ARAF_MOUSE,Serine/threonine-protein kinase A-Raf,14222,8798,No,7.10,0.121870,0.201419
Aco2,ACO2,Q99KI0,ACON_MOUSE,"Aconitate hydratase, mitochondrial",117404,57426,No,1.03,0.122118,0.201495
Ndufs2,NDUFS2,Q91WD5,NDUS2_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",14809,8659,No,7.09,0.122178,0.201495
Gfm1,GFM1,Q8K0D5,EFGM_MOUSE,"Elongation factor G, mitochondrial",10244,6164,No,6.83,0.122313,0.201503
Alcam,ALCAM,Q61490,CD166_MOUSE,CD166 antigen,18895,15966,No,4.91,0.122507,0.201608
Cotl1,COTL1,Q9CQI6,COTL1_MOUSE,Coactosin-like protein,24023,15303,No,7.48,0.122900,0.201932
Has1,HAS1,Q61647,HYAS1_MOUSE,Hyaluronan synthase 1,12727,6775,No,6.92,0.123049,0.201932
Pgm2l1,PGM2L1,Q8CAA7,PGM2L_MOUSE,"Glucose 1,6-bisphosphate synthase",16477,10250,No,7.18,0.123098,0.201932
Adcy3,ADCY3,Q8VHH7,ADCY3_MOUSE,Adenylate cyclase type 3,20243,15354,No,4.91,0.123564,0.202481
Ist1,IST1,Q9CX00,IST1_MOUSE,IST1 homolog,12829,8326,No,6.99,0.123819,0.202641
Atp6v1c1,ATP6V1C1,Q9Z1G3,VATC1_MOUSE,V-type proton ATPase subunit C 1,25037,20553,No,5.03,0.124012,0.202641
Crmp1,CRMP1,P97427,DPYL1_MOUSE,Dihydropyrimidinase-related protein 1,21127,19934,No,4.96,0.124114,0.202641
Dnm1l,DNM1L,Q8K1M6,DNM1L_MOUSE,Dynamin-1-like protein,28083,23536,No,5.09,0.124236,0.202641
Ctsd,CTSD,P07339,CATD_HUMAN,Cathepsin D,7575,4704,No,6.57,0.124335,0.202641
Ppm1e,PPM1E,Q80TL0,PPM1E_MOUSE,Protein phosphatase 1E,13769,9069,No,7.03,0.124514,0.202641
Necap2,NECAP2,Q9D1J1,NECP2_MOUSE,Adaptin ear-binding coat-associated protein 2,12808,8433,No,6.98,0.124647,0.202641
Rcc2,RCC2,Q8BK67,RCC2_MOUSE,Protein RCC2,7339,5093,No,6.58,0.124812,0.202641
Myl6,MYL6,Q60605,MYL6_MOUSE,Myosin light polypeptide 6,17006,10826,No,7.16,0.124916,0.202641
Atp5f1d,NA,Q9D3D9,ATPD_MOUSE,"ATP synthase subunit delta, mitochondrial",19506,19277,No,4.91,0.125054,0.202641
Cox7c,COX7C,P17665,COX7C_MOUSE,"Cytochrome c oxidase subunit 7C, mitochondrial",14156,9206,No,7.03,0.125107,0.202641
Ppp1cc,PPP1CC,P63087,PP1G_MOUSE,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,17702,9661,No,7.11,0.125507,0.203077
Psma7,PSMA7,Q9Z2U0,PSA7_MOUSE,Proteasome subunit alpha type-7,20221,17672,No,4.91,0.125724,0.203197
Hpcal4,HPCAL4,Q8BGZ1,HPCL4_MOUSE,Hippocalcin-like protein 4,15568,11037,No,7.12,0.125845,0.203197
Rabl3,RABL3,Q9D4V7,RABL3_MOUSE,Rab-like protein 3,27246,18790,No,7.52,0.126087,0.203374
Numbl,NUMBL,O08919,NUMBL_MOUSE,Numb-like protein,10506,7591,No,6.81,0.126972,0.204588
Oxr1,OXR1,Q4KMM3,OXR1_MOUSE,Oxidation resistance protein 1,16305,9811,No,7.05,0.127288,0.204830
Rpl36,RPL36,P47964,RL36_MOUSE,60S ribosomal protein L36,13231,9672,No,6.98,0.127388,0.204830
Pkm,PKM,P52480,KPYM_MOUSE,Pyruvate kinase PKM,188139,99008,No,1.14,0.127861,0.205377
Ppme1,PPME1,Q8BVQ5,PPME1_MOUSE,Protein phosphatase methylesterase 1,13288,9796,No,6.96,0.128244,0.205777
Ezr,EZR,P26040,EZRI_MOUSE,Ezrin,68120,62630,No,5.48,0.128508,0.205987
Mgll,MGLL,O35678,MGLL_MOUSE,Monoglyceride lipase,16201,11297,No,7.08,0.128687,0.206060
Snph,SNPH,Q80U23,SNPH_MOUSE,Syntaphilin,9643,7354,No,6.71,0.129682,0.207217
Efhd2,EFHD2,Q9D8Y0,EFHD2_MOUSE,EF-hand domain-containing protein D2,31887,24674,No,5.08,0.129718,0.207217
Prkar2a,PRKAR2A,P12367,KAP2_MOUSE,cAMP-dependent protein kinase type II-alpha regulatory subunit,19255,16841,No,4.85,0.129813,0.207217
Ptk2b,PTK2B,Q9QVP9,FAK2_MOUSE,Protein-tyrosine kinase 2-beta,9321,9188,No,4.51,0.130051,0.207290
Gsn,GSN,P06396,GELS_HUMAN,Gelsolin,11835,10025,No,4.60,0.130128,0.207290
Ddx46,DDX46,Q569Z5,DDX46_MOUSE,Probable ATP-dependent RNA helicase DDX46,12056,9620,No,6.88,0.130323,0.207388
Rpl19,RPL19,P84099,RL19_MOUSE,60S ribosomal protein L19,38945,34850,No,5.18,0.130948,0.207709
Ppp1r2,PPP1R2,Q9DCL8,IPP2_MOUSE,Protein phosphatase inhibitor 2,11059,8450,No,6.78,0.130980,0.207709
Rraga,RRAGA,Q80X95,RRAGA_MOUSE,Ras-related GTP-binding protein A,21560,28333,No,4.94,0.131151,0.207709
Lsamp,LSAMP,Q8BLK3,LSAMP_MOUSE,Limbic system-associated membrane protein,16292,12526,No,7.06,0.131169,0.207709
Elavl1,ELAVL1,P70372,ELAV1_MOUSE,ELAV-like protein 1,14457,12611,No,4.69,0.131199,0.207709
Ddx1,DDX1,Q91VR5,DDX1_MOUSE,ATP-dependent RNA helicase DDX1,7150,5695,No,6.47,0.131685,0.208050
Eftud2,EFTUD2,O08810,U5S1_MOUSE,116 kDa U5 small nuclear ribonucleoprotein component,14313,11312,No,6.96,0.131890,0.208050
Scp2,SCP2,P32020,SCP2_MOUSE,Sterol carrier protein 2,8841,7089,No,6.62,0.131931,0.208050
Mtco2,NA,P00405,COX2_MOUSE,Cytochrome c oxidase subunit 2,79398,31098,No,1.45,0.132008,0.208050
Cand1,CAND1,Q6ZQ38,CAND1_MOUSE,Cullin-associated NEDD8-dissociated protein 1,9412,7261,No,6.64,0.132089,0.208050
Eno3,ENO3,P21550,ENOB_MOUSE,Beta-enolase,25489,23558,No,4.95,0.133104,0.209434
Psma6,PSMA6,Q9QUM9,PSA6_MOUSE,Proteasome subunit alpha type-6,16894,15697,No,4.75,0.133249,0.209449
Nos1,NOS1,Q9Z0J4,NOS1_MOUSE,"Nitric oxide synthase, brain",5713,4485,No,6.25,0.133641,0.209577
Dnaja2,DNAJA2,Q9QYJ0,DNJA2_MOUSE,DnaJ homolog subfamily A member 2,17778,15074,No,7.11,0.133720,0.209577
Ruvbl1,RUVBL1,P60122,RUVB1_MOUSE,RuvB-like 1,8066,6914,No,6.54,0.133738,0.209577
Qdpr,QDPR,Q8BVI4,DHPR_MOUSE,Dihydropteridine reductase,12409,8869,No,6.76,0.134353,0.210143
Arf6,ARF6,P62331,ARF6_MOUSE,ADP-ribosylation factor 6,9066,7801,No,6.61,0.134372,0.210143
Ndufa13,NDUFA13,Q9ERS2,NDUAD_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,28737,33724,No,5.02,0.134743,0.210510
Wasf1,WASF1,Q8R5H6,WASF1_MOUSE,Wiskott-Aldrich syndrome protein family member 1,8709,7827,No,6.59,0.134981,0.210668
Actr2,ACTR2,P61161,ARP2_MOUSE,Actin-related protein 2,12227,10638,No,6.80,0.135554,0.211188
Tubb4a,TUBB4A,Q9D6F9,TBB4A_MOUSE,Tubulin beta-4A chain,49937,25211,No,1.14,0.135588,0.211188
Prkce,PRKCE,P16054,KPCE_MOUSE,Protein kinase C epsilon type,14543,12923,No,6.93,0.135774,0.211264
Rab27b,RAB27B,Q99P58,RB27B_MOUSE,Ras-related protein Rab-27B,25962,28652,No,-7.39,0.136868,0.212590
Arhgdia,ARHGDIA,Q99PT1,GDIR1_MOUSE,Rho GDP-dissociation inhibitor 1,18536,17978,No,4.76,0.136964,0.212590
Nipsnap2,NIPSNAP2,O55126,NIPS2_MOUSE,Protein NipSnap homolog 2,12803,11666,No,6.82,0.137039,0.212590
Capns1,CAPNS1,O88456,CPNS1_MOUSE,Calpain small subunit 1,8039,8086,No,4.37,0.137643,0.213130
Luc7l3,LUC7L3,Q5SUF2,LC7L3_MOUSE,Luc7-like protein 3,7051,6413,No,4.29,0.137663,0.213130
Tbc1d10b,TBC1D10B,Q8BHL3,TB10B_MOUSE,TBC1 domain family member 10B,13979,12897,No,6.86,0.138395,0.213652
Lgals1,LGALS1,P16045,LEG1_MOUSE,Galectin-1,6387,5048,No,6.25,0.138413,0.213652
Pkp4,PKP4,Q68FH0,PKP4_MOUSE,Plakophilin-4,12912,11927,No,6.80,0.138417,0.213652
Arpc5l,ARPC5L,Q9D898,ARP5L_MOUSE,Actin-related protein 2/3 complex subunit 5-like protein,19266,18451,No,7.10,0.138656,0.213789
Gls,GLS,D3Z7P3,GLSK_MOUSE,"Glutaminase kidney isoform, mitochondrial",34722,17969,No,0.95,0.138783,0.213789
Sprr1b,NA,Q62267,SPR1B_MOUSE,Cornifin-B,31473,25469,No,4.98,0.138938,0.213815
Plaa,PLAA,P27612,PLAP_MOUSE,Phospholipase A-2-activating protein,11853,11645,No,6.75,0.139302,0.214161
Fahd2,NA,Q3TC72,FAHD2_MOUSE,Fumarylacetoacetate hydrolase domain-containing protein 2A,7361,6826,No,6.38,0.139628,0.214380
Gstm1,GSTM5,P10649,GSTM1_MOUSE,Glutathione S-transferase Mu 1,33834,36877,No,5.02,0.139723,0.214380
Rpl10a,RPL10A,P53026,RL10A_MOUSE,60S ribosomal protein L10a,15632,14751,No,6.91,0.140042,0.214657
Cox4i1,COX4I1,P19783,COX41_MOUSE,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",113965,66752,No,1.09,0.141273,0.216329
Hsd17b8,NA,P50171,DHB8_MOUSE,(3R)-3-hydroxyacyl-CoA dehydrogenase,5094,5066,No,6.11,0.141704,0.216627
Prmt5,PRMT5,Q8CIG8,ANM5_MOUSE,Protein arginine N-methyltransferase 5,10415,10452,No,6.61,0.141749,0.216627
S100a16,S100A16,Q9D708,S10AG_MOUSE,Protein S100-A16,6329,6485,No,6.26,0.142210,0.217117
Ppfia3,PPFIA3,P60469,LIPA3_MOUSE,Liprin-alpha-3,17154,22302,No,4.71,0.142418,0.217208
Psmb7,PSMB7,P70195,PSB7_MOUSE,Proteasome subunit beta type-7,21430,22349,No,7.12,0.142552,0.217208
Psmc3,PSMC3,O88685,PRS6A_MOUSE,26S proteasome regulatory subunit 6A,8755,9392,No,6.50,0.142805,0.217379
Dnaja1,DNAJA1,P63037,DNJA1_MOUSE,DnaJ homolog subfamily A member 1,8815,7812,No,6.42,0.143553,0.218302
Ndufs5,NDUFS5,Q99LY9,NDUS5_MOUSE,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,6041,6338,No,6.21,0.143882,0.218587
Fus,FUS,P56959,FUS_MOUSE,RNA-binding protein FUS,14829,16631,No,6.85,0.144252,0.218933
Gng12,GNG12,Q9DAS9,GBG12_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,30945,35002,No,7.35,0.144927,0.219742
Clta,CLTA,O08585,CLCA_MOUSE,Clathrin light chain A,11340,11255,No,6.59,0.145240,0.219984
Chmp4b,CHMP4B,Q9D8B3,CHM4B_MOUSE,Charged multivesicular body protein 4b,12434,13424,No,6.69,0.145372,0.219984
Mthfd1l,MTHFD1L,Q3V3R1,C1TM_MOUSE,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",9783,10361,No,6.51,0.145670,0.220013
Aldh7a1,ALDH7A1,Q9DBF1,AL7A1_MOUSE,Alpha-aminoadipic semialdehyde dehydrogenase,13636,15791,No,6.78,0.145676,0.220013
Serpinb6,NA,Q60854,SPB6_MOUSE,Serpin B6,11936,13093,No,6.65,0.146328,0.220713
Pkn1,PKN1,P70268,PKN1_MOUSE,Serine/threonine-protein kinase N1,10599,11026,No,6.54,0.146597,0.220713
Anxa7,ANXA7,Q07076,ANXA7_MOUSE,Annexin A7,13071,13413,No,4.51,0.146711,0.220713
Abi2,ABI2,P62484,ABI2_MOUSE,Abl interactor 2,8526,9758,No,6.42,0.146712,0.220713
Plcb1,PLCB1,Q9Z1B3,PLCB1_MOUSE,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",21253,21850,No,4.73,0.147003,0.220935
Me1,ME1,P06801,MAOX_MOUSE,NADP-dependent malic enzyme,15171,16410,No,6.78,0.147622,0.221124
Cacna2d1,CACNA2D1,O08532,CA2D1_MOUSE,Voltage-dependent calcium channel subunit alpha-2/delta-1,17593,21237,No,6.93,0.147733,0.221124
Rpl23a,NA,P62751,RL23A_MOUSE,60S ribosomal protein L23a,35413,38929,No,4.97,0.147744,0.221124
Arhgap21,ARHGAP21,Q6DFV3,RHG21_MOUSE,Rho GTPase-activating protein 21,31150,35465,No,4.91,0.147774,0.221124
Vps16,VPS16,Q920Q4,VPS16_MOUSE,Vacuolar protein sorting-associated protein 16 homolog,31570,35158,No,4.92,0.147931,0.221124
Camk2d,CAMK2D,Q6PHZ2,KCC2D_MOUSE,Calcium/calmodulin-dependent protein kinase type II subunit delta,11754,12410,No,4.45,0.147989,0.221124
Ndufa6,NDUFA6,Q9CQZ5,NDUA6_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,10753,11994,No,6.54,0.148358,0.221460
Sar1a,SAR1A,P36536,SAR1A_MOUSE,GTP-binding protein SAR1a,11199,13392,No,6.59,0.148537,0.221512
Plin3,PLIN3,Q9DBG5,PLIN3_MOUSE,Perilipin-3,10878,13075,No,6.56,0.149381,0.222556
Ywhah,YWHAH,P68510,1433F_MOUSE,14-3-3 protein eta,22252,20261,No,4.71,0.149895,0.222773
Pcmt1,PCMT1,P23506,PIMT_MOUSE,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,12983,15203,No,6.66,0.150028,0.222773
Psmb3,PSMB3,Q9R1P1,PSB3_MOUSE,Proteasome subunit beta type-3,11413,12846,No,6.55,0.150262,0.222773
Pde1a,PDE1A,Q61481,PDE1A_MOUSE,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",13684,15638,No,4.51,0.150271,0.222773
Pfkm,PFKM,P47857,PFKAM_MOUSE,"ATP-dependent 6-phosphofructokinase, muscle type",108197,60504,No,1.03,0.150356,0.222773
Uqcrb,UQCRB,Q9D855,QCR7_MOUSE,Cytochrome b-c1 complex subunit 7,20072,21863,No,4.68,0.150394,0.222773
Vamp5,VAMP5,Q9Z2P8,VAMP5_MOUSE,Vesicle-associated membrane protein 5,24291,32713,No,7.13,0.150676,0.222977
Etfa,ETFA,Q99LC5,ETFA_MOUSE,"Electron transfer flavoprotein subunit alpha, mitochondrial",15832,19755,No,6.79,0.151245,0.223605
Khdrbs1,KHDRBS1,Q60749,KHDR1_MOUSE,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",13223,17574,No,6.69,0.151402,0.223623
Ddah1,DDAH1,Q9CWS0,DDAH1_MOUSE,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",10229,12655,No,6.46,0.152739,0.225381
Camk2a,CAMK2A,P11798,KCC2A_MOUSE,Calcium/calmodulin-dependent protein kinase type II subunit alpha,82441,44958,No,1.05,0.153258,0.225930
Stx1b,STX1B,P61264,STX1B_MOUSE,Syntaxin-1B,58808,32271,No,1.03,0.153820,0.226543
Tmed10,TMED10,Q9D1D4,TMEDA_MOUSE,Transmembrane emp24 domain-containing protein 10,19739,28959,No,6.95,0.154024,0.226626
Tagln3,TAGLN3,Q9R1Q8,TAGL3_MOUSE,Transgelin-3,14482,18264,No,6.67,0.154602,0.227261
Bcas1,BCAS1,Q80YN3,BCAS1_MOUSE,Breast carcinoma-amplified sequence 1 homolog,17756,21074,No,4.59,0.154796,0.227328
Impa2,IMPA2,Q91UZ5,IMPA2_MOUSE,Inositol monophosphatase 2,11505,12881,No,4.38,0.155022,0.227422
Pdhx,PDHX,Q8BKZ9,ODPX_MOUSE,"Pyruvate dehydrogenase protein X component, mitochondrial",8261,11240,No,6.30,0.155154,0.227422
Mif,MIF,P34884,MIF_MOUSE,Macrophage migration inhibitory factor,16425,20499,No,4.54,0.155666,0.227640
Phf24,PHF24,Q80TL4,PHF24_MOUSE,PHD finger protein 24,9092,13108,No,6.38,0.155857,0.227640
Tomm70,NA,Q9CZW5,TOM70_MOUSE,Mitochondrial import receptor subunit TOM70,22316,21206,No,4.65,0.155865,0.227640
Cox7a2,COX7A2,P48771,CX7A2_MOUSE,"Cytochrome c oxidase subunit 7A2, mitochondrial",28143,31182,No,4.78,0.155893,0.227640
Tpm2,TPM2,P58774,TPM2_MOUSE,Tropomyosin beta chain,16549,22013,No,6.74,0.156410,0.228006
Srgap1,SRGAP1,Q91Z69,SRGP1_MOUSE,SLIT-ROBO Rho GTPase-activating protein 1,53092,74382,No,7.54,0.156440,0.228006
H1-4,NA,P43274,H14_MOUSE,Histone H1.4,218312,392280,No,-0.85,0.156604,0.228029
Gstm6,NA,O35660,GSTM6_MOUSE,Glutathione S-transferase Mu 6,41322,54197,No,7.33,0.156788,0.228082
Plin4,PLIN4,O88492,PLIN4_MOUSE,Perilipin-4,44947,24614,No,0.86,0.157007,0.228186
Dstn,DSTN,Q9R0P5,DEST_MOUSE,Destrin,11230,15806,No,6.49,0.157188,0.228234
Hal,HAL,P35492,HUTH_MOUSE,Histidine ammonia-lyase,55391,49738,No,5.05,0.157443,0.228389
Ndufa12,NDUFA12,Q7TMF3,NDUAC_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,24608,29181,No,4.71,0.157700,0.228547
Snd1,SND1,Q78PY7,SND1_MOUSE,Staphylococcal nuclease domain-containing protein 1,9790,13998,No,6.38,0.158452,0.229421
Gulo,NA,P58710,GGLO_MOUSE,L-gulonolactone oxidase,15454,14740,No,4.46,0.158702,0.229567
Nutf2,NUTF2,P61971,NTF2_MOUSE,Nuclear transport factor 2,15481,21626,No,6.63,0.160386,0.231777
Nme1,NME1,P15532,NDKA_MOUSE,Nucleoside diphosphate kinase A,22507,25936,No,4.64,0.160531,0.231777
Kank2,KANK2,Q8BX02,KANK2_MOUSE,KN motif and ankyrin repeat domain-containing protein 2,14436,24167,No,6.65,0.160685,0.231783
Acaa2,ACAA2,Q8BWT1,THIM_MOUSE,"3-ketoacyl-CoA thiolase, mitochondrial",22692,29071,No,4.64,0.161482,0.232715
Dohh,DOHH,Q99LN9,DOHH_MOUSE,Deoxyhypusine hydroxylase,84208,101632,No,5.23,0.161663,0.232759
Snrnp70,SNRNP70,Q62376,RU17_MOUSE,U1 small nuclear ribonucleoprotein 70 kDa,11098,12489,No,4.30,0.162096,0.233164
Gad1,GAD1,P48318,DCE1_MOUSE,Glutamate decarboxylase 1,11212,15410,No,6.38,0.162507,0.233339
Hadha,HADHA,Q8BMS1,ECHA_MOUSE,"Trifunctional enzyme subunit alpha, mitochondrial",35925,20303,No,0.96,0.162520,0.233339
Arcn1,ARCN1,Q5XJY5,COPD_MOUSE,Coatomer subunit delta,7370,11518,No,6.13,0.163612,0.234576
Ankfy1,ANKFY1,Q810B6,ANFY1_MOUSE,Rabankyrin-5,17403,28861,No,6.71,0.163686,0.234576
Pafah1b2,PAFAH1B2,Q61206,PA1B2_MOUSE,Platelet-activating factor acetylhydrolase IB subunit alpha2,12471,19528,No,6.44,0.165424,0.236847
Pfn2,PFN2,Q9JJV2,PROF2_MOUSE,Profilin-2,33546,45290,No,4.78,0.166090,0.237579
